(Filename, System, Human) = (n,k,l,observed_overlap, baseline, i-measure, normalized_i-measure))
(D30044.APW19981115.0371, G, B) = (184, 10, 8, 3, 0.43478260869565216, 6.9, 0.42000000000000004)
(D30044.APW19981115.0371, G, D) = (184, 10, 8, 2, 0.43478260869565216, 4.6000000000000005, 0.2800000000000001)
(D30044.APW19981115.0371, B, C) = (184, 8, 7, 5, 0.30434782608695654, 16.428571428571427, 1.0)
(D30044.APW19981115.0371, B, G) = (184, 8, 10, 3, 0.43478260869565216, 6.9, 0.42000000000000004)
(D30044.APW19981115.0371, B, D) = (184, 8, 8, 2, 0.34782608695652173, 5.75, 0.35000000000000003)
(D30044.APW19981115.0371, D, C) = (184, 8, 7, 0, 0.30434782608695654, 0.0, 0.0)
(D30044.APW19981115.0371, D, G) = (184, 8, 10, 2, 0.43478260869565216, 4.6000000000000005, 0.2800000000000001)
(D30044.APW19981115.0371, D, B) = (184, 8, 8, 2, 0.34782608695652173, 5.75, 0.35000000000000003)
(D30042.APW19981206.0364, C, B) = (261, 8, 8, 2, 0.24521072796934865, 8.15625, 0.625)
(D30042.APW19981206.0364, C, F) = (261, 8, 10, 2, 0.3065134099616858, 6.525, 0.5)
(D30042.APW19981206.0364, C, D) = (261, 8, 10, 3, 0.3065134099616858, 9.787500000000001, 0.7500000000000001)
(D30042.APW19981206.0364, B, C) = (261, 8, 8, 2, 0.24521072796934865, 8.15625, 0.625)
(D30042.APW19981206.0364, B, F) = (261, 8, 10, 3, 0.3065134099616858, 9.787500000000001, 0.7500000000000001)
(D30042.APW19981206.0364, B, D) = (261, 8, 10, 4, 0.3065134099616858, 13.05, 1.0)
(D30042.APW19981206.0364, F, C) = (261, 10, 8, 2, 0.3065134099616858, 6.525, 0.5)
(D30042.APW19981206.0364, F, B) = (261, 10, 8, 3, 0.3065134099616858, 9.787500000000001, 0.7500000000000001)
(D30042.APW19981206.0364, F, D) = (261, 10, 10, 3, 0.3831417624521073, 7.83, 0.6)
(D30042.APW19981206.0364, D, C) = (261, 10, 8, 3, 0.3065134099616858, 9.787500000000001, 0.7500000000000001)
(D30042.APW19981206.0364, D, B) = (261, 10, 8, 4, 0.3065134099616858, 13.05, 1.0)
(D30042.APW19981206.0364, D, F) = (261, 10, 10, 3, 0.3831417624521073, 7.83, 0.6)
(D30049.APW19981023.0254, E, G) = (156, 7, 11, 2, 0.4935897435897436, 4.0519480519480515, 0.2909090909090909)
(D30049.APW19981023.0254, E, B) = (156, 7, 7, 4, 0.3141025641025641, 12.73469387755102, 0.9142857142857143)
(D30049.APW19981023.0254, E, D) = (156, 7, 8, 4, 0.358974358974359, 11.142857142857142, 0.7999999999999999)
(D30049.APW19981023.0254, G, E) = (156, 11, 7, 2, 0.4935897435897436, 4.0519480519480515, 0.2909090909090909)
(D30049.APW19981023.0254, G, B) = (156, 11, 7, 2, 0.4935897435897436, 4.0519480519480515, 0.2909090909090909)
(D30049.APW19981023.0254, G, D) = (156, 11, 8, 4, 0.5641025641025641, 7.090909090909091, 0.509090909090909)
(D30049.APW19981023.0254, B, E) = (156, 7, 7, 4, 0.3141025641025641, 12.73469387755102, 0.9142857142857143)
(D30049.APW19981023.0254, B, G) = (156, 7, 11, 2, 0.4935897435897436, 4.0519480519480515, 0.2909090909090909)
(D30049.APW19981023.0254, B, D) = (156, 7, 8, 5, 0.358974358974359, 13.928571428571429, 1.0)
(D30049.APW19981023.0254, D, E) = (156, 8, 7, 4, 0.358974358974359, 11.142857142857142, 0.7999999999999999)
(D30049.APW19981023.0254, D, G) = (156, 8, 11, 4, 0.5641025641025641, 7.090909090909091, 0.509090909090909)
(D30049.APW19981023.0254, D, B) = (156, 8, 7, 5, 0.358974358974359, 13.928571428571429, 1.0)
(D30056.APW19981016.0448, E, G) = (59, 8, 7, 1, 0.9491525423728814, 1.0535714285714286, 0.4017857142857143)
(D30056.APW19981016.0448, E, B) = (59, 8, 10, 1, 1.3559322033898304, 0.7375, 0.28125)
(D30056.APW19981016.0448, E, H) = (59, 8, 9, 2, 1.2203389830508475, 1.6388888888888888, 0.625)
(D30056.APW19981016.0448, G, E) = (59, 7, 8, 1, 0.9491525423728814, 1.0535714285714286, 0.4017857142857143)
(D30056.APW19981016.0448, G, B) = (59, 7, 10, 1, 1.1864406779661016, 0.8428571428571429, 0.32142857142857145)
(D30056.APW19981016.0448, G, H) = (59, 7, 9, 2, 1.0677966101694916, 1.873015873015873, 0.7142857142857143)
(D30056.APW19981016.0448, B, E) = (59, 10, 8, 1, 1.3559322033898304, 0.7375, 0.28125)
(D30056.APW19981016.0448, B, G) = (59, 10, 7, 1, 1.1864406779661016, 0.8428571428571429, 0.32142857142857145)
(D30056.APW19981016.0448, B, H) = (59, 10, 9, 4, 1.5254237288135593, 2.6222222222222222, 1.0)
(D30056.APW19981016.0448, H, E) = (59, 9, 8, 2, 1.2203389830508475, 1.6388888888888888, 0.625)
(D30056.APW19981016.0448, H, G) = (59, 9, 7, 2, 1.0677966101694916, 1.873015873015873, 0.7142857142857143)
(D30056.APW19981016.0448, H, B) = (59, 9, 10, 4, 1.5254237288135593, 2.6222222222222222, 1.0)
(D30036.APW19981011.0541, F, D) = (172, 10, 9, 5, 0.5232558139534884, 9.555555555555555, 0.7999999999999999)
(D30036.APW19981011.0541, F, H) = (172, 10, 8, 4, 0.46511627906976744, 8.6, 0.72)
(D30036.APW19981011.0541, F, A) = (172, 10, 9, 6, 0.5232558139534884, 11.466666666666665, 0.9599999999999999)
(D30036.APW19981011.0541, D, F) = (172, 9, 10, 5, 0.5232558139534884, 9.555555555555555, 0.7999999999999999)
(D30036.APW19981011.0541, D, H) = (172, 9, 8, 2, 0.4186046511627907, 4.777777777777778, 0.39999999999999997)
(D30036.APW19981011.0541, D, A) = (172, 9, 9, 4, 0.47093023255813954, 8.493827160493828, 0.7111111111111111)
(D30036.APW19981011.0541, H, F) = (172, 8, 10, 4, 0.46511627906976744, 8.6, 0.72)
(D30036.APW19981011.0541, H, D) = (172, 8, 9, 2, 0.4186046511627907, 4.777777777777778, 0.39999999999999997)
(D30036.APW19981011.0541, H, A) = (172, 8, 9, 5, 0.4186046511627907, 11.944444444444445, 1.0)
(D30036.APW19981011.0541, A, F) = (172, 9, 10, 6, 0.5232558139534884, 11.466666666666665, 0.9599999999999999)
(D30036.APW19981011.0541, A, D) = (172, 9, 9, 4, 0.47093023255813954, 8.493827160493828, 0.7111111111111111)
(D30036.APW19981011.0541, A, H) = (172, 9, 8, 5, 0.4186046511627907, 11.944444444444445, 1.0)
(D31009.APW19981111.1240, C, G) = (76, 8, 11, 0, 1.1578947368421053, 0.0, 0.0)
(D31009.APW19981111.1240, C, B) = (76, 8, 8, 2, 0.8421052631578947, 2.375, 0.875)
(D31009.APW19981111.1240, C, F) = (76, 8, 7, 1, 0.7368421052631579, 1.3571428571428572, 0.5)
(D31009.APW19981111.1240, G, C) = (76, 11, 8, 0, 1.1578947368421053, 0.0, 0.0)
(D31009.APW19981111.1240, G, B) = (76, 11, 8, 2, 1.1578947368421053, 1.7272727272727273, 0.6363636363636364)
(D31009.APW19981111.1240, G, F) = (76, 11, 7, 0, 1.013157894736842, 0.0, 0.0)
(D31009.APW19981111.1240, B, C) = (76, 8, 8, 2, 0.8421052631578947, 2.375, 0.875)
(D31009.APW19981111.1240, B, G) = (76, 8, 11, 2, 1.1578947368421053, 1.7272727272727273, 0.6363636363636364)
(D31009.APW19981111.1240, B, F) = (76, 8, 7, 2, 0.7368421052631579, 2.7142857142857144, 1.0)
